pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
16B	16	17.06.2025	3	control	6	50	30																									
1A	1	30.06.2025	5	control	1	50	64																									
1A	1	30.06.2025	5	control	2	50	58																									
1A	1	30.06.2025	5	control	3	50	91																									
1A	1	30.06.2025	5	control	4	50	52																									
1A	1	30.06.2025	5	control	5	50	82																									
1A	1	30.06.2025	5	control	6	50	64																									
1B	1	30.06.2025	5	heated	1	50	55																									
1B	1	30.06.2025	5	heated	2	50	77																									
1B	1	30.06.2025	5	heated	3	50	68																									
1B	1	30.06.2025	5	heated	4	50	87																									
1B	1	30.06.2025	5	heated	5	50	91																									
1B	1	30.06.2025	5	heated	6	50	77																									
2A	2	30.06.2025	5	control	1	50	37																									
2A	2	30.06.2025	5	control	2	50	56																									
2A	2	30.06.2025	5	control	3	50	50																									
2A	2	30.06.2025	5	control	4	50	43																									
2A	2	30.06.2025	5	control	5	50	43																									
2A	2	30.06.2025	5	control	6	50	38																									
2B	2	30.06.2025	5	heated	1	50	93																									
2B	2	30.06.2025	5	heated	2	50	78																									
2B	2	30.06.2025	5	heated	3	50	60																									
2B	2	30.06.2025	5	heated	4	50	81																									
2B	2	30.06.2025	5	heated	5	50	79																									
2B	2	30.06.2025	5	heated	6	50	75																									
3A	3	30.06.2025	5	heated	1	50	76																									
3A	3	30.06.2025	5	heated	2	50	82																									
3A	3	30.06.2025	5	heated	3	50	80																									
3A	3	30.06.2025	5	heated	4	50	111																									
3A	3	30.06.2025	5	heated	5	50	90																									
3A	3	30.06.2025	5	heated	6	50	85																									
3B	3	30.06.2025	5	control	1	50	69																									
3B	3	30.06.2025	5	control	2	50	69																									
3B	3	30.06.2025	5	control	3	50	68																									
3B	3	30.06.2025	5	control	4	50	139																									
3B	3	30.06.2025	5	control	5	50	118																									
3B	3	30.06.2025	5	control	6	50	88																									
4A	4	30.06.2025	5	heated	1	50	84																									
4A	4	30.06.2025	5	heated	2	50	98																									
4A	4	30.06.2025	5	heated	3	50	79																									
4A	4	30.06.2025	5	heated	4	50	80																									
4A	4	30.06.2025	5	heated	5	50	67																									
4A	4	30.06.2025	5	heated	6	50	102																									
4B	4	30.06.2025	5	control	1	50	16																									
4B	4	30.06.2025	5	control	2	50	34																									
4B	4	30.06.2025	5	control	3	50	19																									
4B	4	30.06.2025	5	control	4	50	29																									
4B	4	30.06.2025	5	control	5	50	18																									
4B	4	30.06.2025	5	control	6	50	18																									
5A	5	30.06.2025	5	control	1	50	55																									
5A	5	30.06.2025	5	control	2	50	60																									
5A	5	30.06.2025	5	control	3	50	57																									
5A	5	30.06.2025	5	control	4	50	68																									
5A	5	30.06.2025	5	control	5	50	71																									
5A	5	30.06.2025	5	control	6	50	60																									
5B	5	30.06.2025	5	heated	1	50	67																									
5B	5	30.06.2025	5	heated	2	50	48																									
5B	5	30.06.2025	5	heated	3	50	61																									
5B	5	30.06.2025	5	heated	4	50	52																									
5B	5	30.06.2025	5	heated	5	50	55																									
5B	5	30.06.2025	5	heated	6	50	60																									
6A	6	30.06.2025	5	control	1	50	69																									
6A	6	30.06.2025	5	control	2	50	50																									
6A	6	30.06.2025	5	control	3	50	45																									
6A	6	30.06.2025	5	control	4	50	58																									
6A	6	30.06.2025	5	control	5	50	50																									
6A	6	30.06.2025	5	control	6	50	45																									
6B	6	30.06.2025	5	heated	1	50	86																									
6B	6	30.06.2025	5	heated	2	50	97																									
6B	6	30.06.2025	5	heated	3	50	91																									
6B	6	30.06.2025	5	heated	4	50	91																									
6B	6	30.06.2025	5	heated	5	50	90																									
6B	6	30.06.2025	5	heated	6	50	93																									
7A	7	30.06.2025	5	heated	1	50	68																									
7A	7	30.06.2025	5	heated	2	50	45																									
7A	7	30.06.2025	5	heated	3	50	27																									
7A	7	30.06.2025	5	heated	4	50	101																									
7A	7	30.06.2025	5	heated	5	50	55																									
7A	7	30.06.2025	5	heated	6	50	71																									
7B	7	30.06.2025	5	control	1	50	106																									
7B	7	30.06.2025	5	control	2	50	73																									
7B	7	30.06.2025	5	control	3	50	77																									
7B	7	30.06.2025	5	control	4	50	72																									
7B	7	30.06.2025	5	control	5	50	70																									
7B	7	30.06.2025	5	control	6	50	94																									
8A	8	30.06.2025	5	heated	1	50	84																									
8A	8	30.06.2025	5	heated	2	50	130																									
8A	8	30.06.2025	5	heated	3	50	70																									
8A	8	30.06.2025	5	heated	4	50	77																									
8A	8	30.06.2025	5	heated	5	50	82																									
8A	8	30.06.2025	5	heated	6	50	88																									
8B	8	30.06.2025	5	control	1	50	144																									
8B	8	30.06.2025	5	control	2	50	116																									
8B	8	30.06.2025	5	control	3	50	112																									
8B	8	30.06.2025	5	control	4	50	137																									
8B	8	30.06.2025	5	control	5	50	110																									
8B	8	30.06.2025	5	control	6	50	120																									
9A	9	30.06.2025	5	control	1	50	49																									
9A	9	30.06.2025	5	control	2	50	70																									
9A	9	30.06.2025	5	control	3	50	59																									
9A	9	30.06.2025	5	control	4	50	66																									
9A	9	30.06.2025	5	control	5	50	65																									
9A	9	30.06.2025	5	control	6	50	60																									
9B	9	30.06.2025	5	heated	1	50	52																									
9B	9	30.06.2025	5	heated	2	50	47																									
9B	9	30.06.2025	5	heated	3	50	46																									
9B	9	30.06.2025	5	heated	4	50	38																									
9B	9	30.06.2025	5	heated	5	50	40																									
9B	9	30.06.2025	5	heated	6	50	42																									
10A	10	30.06.2025	5	control	1	50	84																									
10A	10	30.06.2025	5	control	2	50	62																									
10A	10	30.06.2025	5	control	3	50	85																									
10A	10	30.06.2025	5	control	4	50	54																									
10A	10	30.06.2025	5	control	5	50	87																									
10A	10	30.06.2025	5	control	6	50	83																									
10B	10	30.06.2025	5	heated	1	50	88																									
10B	10	30.06.2025	5	heated	2	50	110																									
10B	10	30.06.2025	5	heated	3	50	76																									
10B	10	30.06.2025	5	heated	4	50	70																									
10B	10	30.06.2025	5	heated	5	50	83																									
10B	10	30.06.2025	5	heated	6	50	75																									
11A	11	30.06.2025	5	heated	1	50	64																									
11A	11	30.06.2025	5	heated	2	50	67																									
11A	11	30.06.2025	5	heated	3	50	46																									
11A	11	30.06.2025	5	heated	4	50	72																									
11A	11	30.06.2025	5	heated	5	50	72																									
11A	11	30.06.2025	5	heated	6	50	69																									
11B	11	30.06.2025	5	control	1	50	74																									
11B	11	30.06.2025	5	control	2	50	107																									
11B	11	30.06.2025	5	control	3	50	87																									
11B	11	30.06.2025	5	control	4	50	66																									
11B	11	30.06.2025	5	control	5	50	91																									
11B	11	30.06.2025	5	control	6	50	85																									
12A	12	30.06.2025	5	heated	1	50	54																									
12A	12	30.06.2025	5	heated	2	50	49																									
12A	12	30.06.2025	5	heated	3	50	59																									
12A	12	30.06.2025	5	heated	4	50	66																									
12A	12	30.06.2025	5	heated	5	50	55																									
12A	12	30.06.2025	5	heated	6	50	53																									
12B	12	30.06.2025	5	control	1	50	105																									
12B	12	30.06.2025	5	control	2	50	111																									
12B	12	30.06.2025	5	control	3	50	77																									
12B	12	30.06.2025	5	control	4	50	107																									
12B	12	30.06.2025	5	control	5	50	111																									
12B	12	30.06.2025	5	control	6	50	99																									
13A	13	30.06.2025	5	control	1	50	68																									
13A	13	30.06.2025	5	control	2	50	84																									
13A	13	30.06.2025	5	control	3	50	73																									
13A	13	30.06.2025	5	control	4	50	86																									
13A	13	30.06.2025	5	control	5	50	101																									
