pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
14B	14	11.08.2025	11	heated	4	50	105																									
14B	14	11.08.2025	11	heated	5	50	108																									
14B	14	11.08.2025	11	heated	6	50	95																									
15A	15	11.08.2025	11	heated	1	50	2																									
15A	15	11.08.2025	11	heated	2	50	0																									
15A	15	11.08.2025	11	heated	3	50	0																									
15A	15	11.08.2025	11	heated	4	50	2																									
15A	15	11.08.2025	11	heated	5	50	2																									
15A	15	11.08.2025	11	heated	6	50	0																									
15B	15	11.08.2025	11	control	1	7	5																									
15B	15	11.08.2025	11	control	2	5	3																									
15B	15	11.08.2025	11	control	3	6	11																									
15B	15	11.08.2025	11	control	4	4	0																									
15B	15	11.08.2025	11	control	5	23	6																									
16A	16	11.08.2025	11	heated	1	50	93																									
16A	16	11.08.2025	11	heated	2	50	50																									
16A	16	11.08.2025	11	heated	3	50	52																									
16A	16	11.08.2025	11	heated	4	50	86																									
16A	16	11.08.2025	11	heated	5	50	83																									
16A	16	11.08.2025	11	heated	6	50	69																									
16B	16	11.08.2025	11	control	1	50	88																									
16B	16	11.08.2025	11	control	2	50	48																									
16B	16	11.08.2025	11	control	3	50	37																									
16B	16	11.08.2025	11	control	4	50	47																									
16B	16	11.08.2025	11	control	5	50	45																									
16B	16	11.08.2025	11	control	6	50	48																									
1A	1	25.08.2025	13	control	1	50	0																									
1A	1	25.08.2025	13	control	2	50	1																									
1A	1	25.08.2025	13	control	3	50	0																									
1A	1	25.08.2025	13	control	4	50	0																									
1A	1	25.08.2025	13	control	5	50	5																									
1A	1	25.08.2025	13	control	6	50	0																									
1B	1	25.08.2025	13	heated	1	0	0																									
2A	2	25.08.2025	13	control	1	14	2																									
2A	2	25.08.2025	13	control	2	5	1																									
2A	2	25.08.2025	13	control	3	3	1																									
2A	2	25.08.2025	13	control	4	9	0																									
2A	2	25.08.2025	13	control	5	5	2																									
2A	2	25.08.2025	13	control	6	1	0																									
2B	2	25.08.2025	13	heated	1	50	35																									
2B	2	25.08.2025	13	heated	2	50	30																									
2B	2	25.08.2025	13	heated	3	50	34																									
2B	2	25.08.2025	13	heated	4	50	32																									
2B	2	25.08.2025	13	heated	5	50	34																									
2B	2	25.08.2025	13	heated	6	50	30																									
3A	3	25.08.2025	13	heated	1	6	1																									
3A	3	25.08.2025	13	heated	2	50	25																									
3A	3	25.08.2025	13	heated	3	50	28																									
3A	3	25.08.2025	13	heated	4	50	14																									
3A	3	25.08.2025	13	heated	5	50	22																									
3A	3	25.08.2025	13	heated	6	50	28																									
3B	3	25.08.2025	13	control	1	3	0																									
3B	3	25.08.2025	13	control	2	1	0																									
4A	4	25.08.2025	13	heated	1	50	42																									
4A	4	25.08.2025	13	heated	2	50	49																									
4A	4	25.08.2025	13	heated	3	50	47																									
4A	4	25.08.2025	13	heated	4	50	50																									
4A	4	25.08.2025	13	heated	5	50	62																									
4A	4	25.08.2025	13	heated	6	50	45																									
4B	4	25.08.2025	13	control	1	50	12																									
4B	4	25.08.2025	13	control	2	50	12																									
4B	4	25.08.2025	13	control	3	50	1																									
4B	4	25.08.2025	13	control	4	50	5																									
4B	4	25.08.2025	13	control	5	50	4																									
4B	4	25.08.2025	13	control	6	50	11																									
5A	5	25.08.2025	13	control	1	3	1																									
5A	5	25.08.2025	13	control	2	7	0																									
5A	5	25.08.2025	13	control	3	6	3																									
5B	5	25.08.2025	13	heated	1	5	0																									
5B	5	25.08.2025	13	heated	2	3	0																									
5B	5	25.08.2025	13	heated	3	3	0																									
5B	5	25.08.2025	13	heated	4	2	0																									
5B	5	25.08.2025	13	heated	5	4	0																									
5B	5	25.08.2025	13	heated	6	4	1																									
6A	6	25.08.2025	13	control	1	11	8																									
6A	6	25.08.2025	13	control	2	37	4																									
6A	6	25.08.2025	13	control	3	50	30																									
6A	6	25.08.2025	13	control	4	36	17																									
6B	6	25.08.2025	13	heated	1	50	37																									
6B	6	25.08.2025	13	heated	2	50	71																									
6B	6	25.08.2025	13	heated	3	50	50																									
6B	6	25.08.2025	13	heated	4	50	67																									
6B	6	25.08.2025	13	heated	5	50	102																									
6B	6	25.08.2025	13	heated	6	50	80																									
7A	7	25.08.2025	13	heated	1	3	1																									
7A	7	25.08.2025	13	heated	2	50	18																									
7A	7	25.08.2025	13	heated	3	50	27																									
7A	7	25.08.2025	13	heated	4	50	30																									
7A	7	25.08.2025	13	heated	5	50	17																									
7A	7	25.08.2025	13	heated	6	50	30																									
7B	7	25.08.2025	13	control	1	0	0																									
8A	8	25.08.2025	13	heated	1	50	31																									
8A	8	25.08.2025	13	heated	2	50	58																									
8A	8	25.08.2025	13	heated	3	50	32																									
8A	8	25.08.2025	13	heated	4	50	30																									
8A	8	25.08.2025	13	heated	5	50	44																									
8A	8	25.08.2025	13	heated	6	50	52																									
8B	8	25.08.2025	13	control	1	50	51																									
8B	8	25.08.2025	13	control	2	50	33																									
8B	8	25.08.2025	13	control	3	50	36																									
8B	8	25.08.2025	13	control	4	50	30																									
8B	8	25.08.2025	13	control	5	50	31																									
8B	8	25.08.2025	13	control	6	50	23																									
9A	9	25.08.2025	13	control	1	0	0																									
9B	9	25.08.2025	13	heated	1	0	0																									
10A	10	25.08.2025	13	control	1	1	0																									
10A	10	25.08.2025	13	control	2	2	0																									
10A	10	25.08.2025	13	control	3	3	2																									
10A	10	25.08.2025	13	control	4	6	1																									
10A	10	25.08.2025	13	control	5	3	0																									
10A	10	25.08.2025	13	control	6	4	0																									
10B	10	25.08.2025	13	heated	1	50	13																									
10B	10	25.08.2025	13	heated	2	50	11																									
10B	10	25.08.2025	13	heated	3	50	9																									
10B	10	25.08.2025	13	heated	4	50	10																									
10B	10	25.08.2025	13	heated	5	50	11																									
10B	10	25.08.2025	13	heated	6	50	12																									
11A	11	25.08.2025	13	heated	1	50	12																									
11A	11	25.08.2025	13	heated	2	50	13																									
11A	11	25.08.2025	13	heated	3	50	17																									
11A	11	25.08.2025	13	heated	4	50	8																									
11A	11	25.08.2025	13	heated	5	50	10																									
11A	11	25.08.2025	13	heated	6	50	16																									
11B	11	25.08.2025	13	control	1	6	0																									
11B	11	25.08.2025	13	control	2	3	1																									
11B	11	25.08.2025	13	control	3	3	0																									
11B	11	25.08.2025	13	control	4	3	1																									
11B	11	25.08.2025	13	control	5	3	0																									
11B	11	25.08.2025	13	control	6	0	0																									
12A	12	25.08.2025	13	heated	1	50	93																									
12A	12	25.08.2025	13	heated	2	50	42																									
12A	12	25.08.2025	13	heated	3	50	111																									
12A	12	25.08.2025	13	heated	4	50	110																									
12A	12	25.08.2025	13	heated	5	50	115																									
12A	12	25.08.2025	13	heated	6	50	128																									
12B	12	25.08.2025	13	control	1	50	0																									
12B	12	25.08.2025	13	control	2	50	2																									
12B	12	25.08.2025	13	control	3	50	0																									
12B	12	25.08.2025	13	control	4	50	1																									
12B	12	25.08.2025	13	control	5	50	0																									
12B	12	25.08.2025	13	control	6	50	0																									
13A	13	25.08.2025	13	control	1	50	8																									
13A	13	25.08.2025	13	control	2	50	12																									
13A	13	25.08.2025	13	control	3	50	3																									
13A	13	25.08.2025	13	control	4	50	3																									
13A	13	25.08.2025	13	control	5	50	5																									
13A	13	25.08.2025	13	control	6	50	3																									
13B	13	25.08.2025	13	heated	1	50	57																									
13B	13	25.08.2025	13	heated	2	50	49																									
13B	13	25.08.2025	13	heated	3	50	45																									
13B	13	25.08.2025	13	heated	4	50	51																									
13B	13	25.08.2025	13	heated	5	50	53																									
13B	13	25.08.2025	13	heated	6	50	51																									
14A	14	25.08.2025	13	control	1	50	27																									
14A	14	25.08.2025	13	control	2	50	39																									
14A	14	25.08.2025	13	control	3	50	35																									
14A	14	25.08.2025	13	control	4	50	26																									
14A	14	25.08.2025	13	control	5	50	27																									
14A	14	25.08.2025	13	control	6	50	25																									
14B	14	25.08.2025	13	heated	1	50	28																									
14B	14	25.08.2025	13	heated	2	50	22																									
14B	14	25.08.2025	13	heated	3	50	36																									
14B	14	25.08.2025	13	heated	4	50	35																									
14B	14	25.08.2025	13	heated	5	50	48																									
14B	14	25.08.2025	13	heated	6	50	45																									
15A	15	25.08.2025	13	heated	1	50	40																									
15A	15	25.08.2025	13	heated	2	50	33																									
15A	15	25.08.2025	13	heated	3	50	24																									
15A	15	25.08.2025	13	heated	4	50	26																									
15A	15	25.08.2025	13	heated	5	50	26																									
15A	15	25.08.2025	13	heated	6	50	28																									
15B	15	25.08.2025	13	control	1	11	7																									
15B	15	25.08.2025	13	control	2	10	6																									
15B	15	25.08.2025	13	control	3	2	0																									
15B	15	25.08.2025	13	control	4	7	0																									
16A	16	25.08.2025	13	heated	1	50	30																									
16A	16	25.08.2025	13	heated	2	50	32																									
16A	16	25.08.2025	13	heated	3	50	15																									
16A	16	25.08.2025	13	heated	4	50	23																									
16A	16	25.08.2025	13	heated	5	50	18																									
16A	16	25.08.2025	13	heated	6	50	20																									
16B	16	25.08.2025	13	control	1	50	8																									
16B	16	25.08.2025	13	control	2	50	2																									
16B	16	25.08.2025	13	control	3	50	4																									
16B	16	25.08.2025	13	control	4	50	5																									
16B	16	25.08.2025	13	control	5	50	8																									
16B	16	25.08.2025	13	control	6	50	1																									
1A	1	08.09.2025	15	control	1	50	0																									
1A	1	08.09.2025	15	control	2	50	0																									
1A	1	08.09.2025	15	control	3	50	0																									
1A	1	08.09.2025	15	control	4	50	0																									
1A	1	08.09.2025	15	control	5	50	0																									
1A	1	08.09.2025	15	control	6	50	0																									
1B	1	08.09.2025	15	heated	1	0	0																									
2A	2	08.09.2025	15	control	1	0	0																									
2B	2	08.09.2025	15	heated	1	50	5																									
2B	2	08.09.2025	15	heated	2	50	4																									
2B	2	08.09.2025	15	heated	3	50	4																									
2B	2	08.09.2025	15	heated	4	50	18																									
2B	2	08.09.2025	15	heated	5	50	9																									
2B	2	08.09.2025	15	heated	6	50	12																									
3A	3	08.09.2025	15	heated	1	50	5																									
3A	3	08.09.2025	15	heated	2	50	10																									
3A	3	08.09.2025	15	heated	3	50	13																									
3A	3	08.09.2025	15	heated	4	50	3																									
3A	3	08.09.2025	15	heated	5	50	8																									
3A	3	08.09.2025	15	heated	6	50	10																									
3B	3	08.09.2025	15	control	1	0	0																									
4A	4	08.09.2025	15	heated	1	50	16																									
4A	4	08.09.2025	15	heated	2	50	15																									
4A	4	08.09.2025	15	heated	3	50	17																									
4A	4	08.09.2025	15	heated	4	50	27																									
4A	4	08.09.2025	15	heated	5	50	30																									
4A	4	08.09.2025	15	heated	6	50	30																									
4B	4	08.09.2025	15	control	1	50	6																									
4B	4	08.09.2025	15	control	2	50	6																									
4B	4	08.09.2025	15	control	3	50	4																									
4B	4	08.09.2025	15	control	4	50	2																									
4B	4	08.09.2025	15	control	5	50	20																									
4B	4	08.09.2025	15	control	6	50	5																									
5A	5	08.09.2025	15	control	1	0	0																									
5B	5	08.09.2025	15	heated	1	6	1																									
5B	5	08.09.2025	15	heated	2	8	0																									
5B	5	08.09.2025	15	heated	3	6	0																									
6A	6	08.09.2025	15	control	1	7	0																									
6A	6	08.09.2025	15	control	2	4	5																									
6B	6	08.09.2025	15	heated	1	50	48																									
6B	6	08.09.2025	15	heated	2	50	39																									
6B	6	08.09.2025	15	heated	3	50	54																									
6B	6	08.09.2025	15	heated	4	50	45																									
6B	6	08.09.2025	15	heated	5	50	26																									
6B	6	08.09.2025	15	heated	6	50	41																									
7A	7	08.09.2025	15	heated	1	29	0																									
7A	7	08.09.2025	15	heated	2	50	1																									
7A	7	08.09.2025	15	heated	3	50	2																									
7A	7	08.09.2025	15	heated	4	50	0																									
7A	7	08.09.2025	15	heated	5	50	0																									
7A	7	08.09.2025	15	heated	6	50	0																									
7B	7	08.09.2025	15	control	1	0	0																									
8A	8	08.09.2025	15	heated	1	50	2																									
8A	8	08.09.2025	15	heated	2	50	0																									
8A	8	08.09.2025	15	heated	3	50	1																									
8A	8	08.09.2025	15	heated	4	50	0																									
8A	8	08.09.2025	15	heated	5	50	0																									
8A	8	08.09.2025	15	heated	6	50	0																									
8B	8	08.09.2025	15	control	1	50	25																									
8B	8	08.09.2025	15	control	2	50	43																									
8B	8	08.09.2025	15	control	3	50	10																									
8B	8	08.09.2025	15	control	4	50	14																									
8B	8	08.09.2025	15	control	5	50	27																									
8B	8	08.09.2025	15	control	6	50	26																									
9A	9	08.09.2025	15	control	1	0	0																									
9B	9	08.09.2025	15	heated	1	0	0																									
10A	10	08.09.2025	15	control	1	8	0																									
10A	10	08.09.2025	15	control	2	5	0																									
10A	10	08.09.2025	15	control	3	3	0																									
10A	10	08.09.2025	15	control	4	9	0																									
10B	10	08.09.2025	15	heated	1	50	0																									
10B	10	08.09.2025	15	heated	2	50	0																									
10B	10	08.09.2025	15	heated	3	50	1																									
10B	10	08.09.2025	15	heated	4	50	0																									
10B	10	08.09.2025	15	heated	5	50	1																									
10B	10	08.09.2025	15	heated	6	50	0																									
11A	11	08.09.2025	15	heated	1	50	0																									
11A	11	08.09.2025	15	heated	2	50	0																									
11A	11	08.09.2025	15	heated	3	50	0																									
11A	11	08.09.2025	15	heated	4	50	0																									
11A	11	08.09.2025	15	heated	5	50	0																									
11A	11	08.09.2025	15	heated	6	50	0																									
11B	11	08.09.2025	15	control	1	0	0																									
12A	12	08.09.2025	15	heated	1	50	0																									
12A	12	08.09.2025	15	heated	2	50	0																									
12A	12	08.09.2025	15	heated	3	50	0																									
12A	12	08.09.2025	15	heated	4	50	0																									
12A	12	08.09.2025	15	heated	5	50	0																									
12A	12	08.09.2025	15	heated	6	50	0																									
12B	12	08.09.2025	15	control	1	50	0																									
12B	12	08.09.2025	15	control	2	50	0																									
12B	12	08.09.2025	15	control	3	50	0																									
12B	12	08.09.2025	15	control	4	50	0																									
12B	12	08.09.2025	15	control	5	50	0																									
12B	12	08.09.2025	15	control	6	50	0																									
13A	13	08.09.2025	15	control	1	50	2																									
13A	13	08.09.2025	15	control	2	50	2																									
13A	13	08.09.2025	15	control	3	50	2																									
13A	13	08.09.2025	15	control	4	50	2																									
13A	13	08.09.2025	15	control	5	50	0																									
13A	13	08.09.2025	15	control	6	50	2																									
13B	13	08.09.2025	15	heated	1	50	1																									
13B	13	08.09.2025	15	heated	2	50	0																									
13B	13	08.09.2025	15	heated	3	50	0																									
13B	13	08.09.2025	15	heated	4	50	1																									
13B	13	08.09.2025	15	heated	5	50	0																									
13B	13	08.09.2025	15	heated	6	50	1																									
14A	14	08.09.2025	15	control	1	50	0																									
14A	14	08.09.2025	15	control	2	50	1																									
14A	14	08.09.2025	15	control	3	50	0																									
14A	14	08.09.2025	15	control	4	50	1																									
14A	14	08.09.2025	15	control	5	50	0																									
14A	14	08.09.2025	15	control	6	50	0																									
14B	14	08.09.2025	15	heated	1	50	0																									
14B	14	08.09.2025	15	heated	2	50	1																									
14B	14	08.09.2025	15	heated	3	50	3																									
14B	14	08.09.2025	15	heated	4	50	2																									
14B	14	08.09.2025	15	heated	5	50	1																									
14B	14	08.09.2025	15	heated	6	50	0																									
15A	15	08.09.2025	15	heated	1	50	0																									
15A	15	08.09.2025	15	heated	2	50	0																									
15A	15	08.09.2025	15	heated	3	50	0																									
15A	15	08.09.2025	15	heated	4	50	0																									
15A	15	08.09.2025	15	heated	5	50	0																									
15A	15	08.09.2025	15	heated	6	50	0																									
15B	15	08.09.2025	15	control	1	2	0																									
15B	15	08.09.2025	15	control	2	2	0																									
15B	15	08.09.2025	15	control	3	6	0																									
15B	15	08.09.2025	15	control	4	4	0																									
15B	15	08.09.2025	15	control	5	7	0																									
16A	16	08.09.2025	15	heated	1	50	0																									
16A	16	08.09.2025	15	heated	2	50	0																									
16A	16	08.09.2025	15	heated	3	50	0																									
16A	16	08.09.2025	15	heated	4	50	1																									
16A	16	08.09.2025	15	heated	5	50	1																									
16A	16	08.09.2025	15	heated	6	50	0																									
16B	16	08.09.2025	15	control	1	50	0																									
16B	16	08.09.2025	15	control	2	50	0																									
16B	16	08.09.2025	15	control	3	50	0																									
16B	16	08.09.2025	15	control	4	50	0																									
16B	16	08.09.2025	15	control	5	50	0																									
16B	16	08.09.2025	15	control	6	50	0																									
1A	1	23.09.2025	17	control	1	50	0																									
1A	1	23.09.2025	17	control	2	50	0																									
1A	1	23.09.2025	17	control	3	50	0																									
1A	1	23.09.2025	17	control	4	50	0																									
1A	1	23.09.2025	17	control	5	50	0																									
1A	1	23.09.2025	17	control	6	50	0																									
1B	1	23.09.2025	17	heated	1	2	0																									
2A	2	23.09.2025	17	control	1	5	0																									
2A	2	23.09.2025	17	control	2	3	0																									
2B	2	23.09.2025	17	heated	1	50	26																									
2B	2	23.09.2025	17	heated	2	50	14																									
2B	2	23.09.2025	17	heated	3	50	13																									
2B	2	23.09.2025	17	heated	4	50	15																									
2B	2	23.09.2025	17	heated	5	50	31																									
2B	2	23.09.2025	17	heated	6	50	24																									
3A	3	23.09.2025	17	heated	1	50	15																									
3A	3	23.09.2025	17	heated	2	50	9																									
3A	3	23.09.2025	17	heated	3	50	10																									
3A	3	23.09.2025	17	heated	4	50	8																									
3A	3	23.09.2025	17	heated	5	50	7																									
3A	3	23.09.2025	17	heated	6	50	9																									
3B	3	23.09.2025	17	control	1	1	0																									
3B	3	23.09.2025	17	control	2	4	0																									
3B	3	23.09.2025	17	control	3	21	5																									
3B	3	23.09.2025	17	control	4	36	13																									
3B	3	23.09.2025	17	control	5	3	0																									
4A	4	23.09.2025	17	heated	1	50	51																									
4A	4	23.09.2025	17	heated	2	50	40																									
4A	4	23.09.2025	17	heated	3	50	43																									
4A	4	23.09.2025	17	heated	4	50	25																									
4A	4	23.09.2025	17	heated	5	50	28																									
4A	4	23.09.2025	17	heated	6	50	71																									
4B	4	23.09.2025	17	control	1	50	7																									
4B	4	23.09.2025	17	control	2	50	17																									
4B	4	23.09.2025	17	control	3	50	5																									
4B	4	23.09.2025	17	control	4	50	7																									
4B	4	23.09.2025	17	control	5	50	3																									
4B	4	23.09.2025	17	control	6	50	9																									
5A	5	23.09.2025	17	control	1	2	0																									
5A	5	23.09.2025	17	control	2	2	0																									
5A	5	23.09.2025	17	control	3	2	0																									
5B	5	23.09.2025	17	heated	1	2	0																									
5B	5	23.09.2025	17	heated	2	1	0																									
6A	6	23.09.2025	17	control	1	5	0																									
6A	6	23.09.2025	17	control	2	10	1																									
6A	6	23.09.2025	17	control	3	7	0																									
6B	6	23.09.2025	17	heated	1	50	4																									
6B	6	23.09.2025	17	heated	2	50	3																									
6B	6	23.09.2025	17	heated	3	50	1																									
6B	6	23.09.2025	17	heated	4	50	9																									
6B	6	23.09.2025	17	heated	5	50	1																									
6B	6	23.09.2025	17	heated	6	50	3																									
7A	7	23.09.2025	17	heated	1	1	0																									
7A	7	23.09.2025	17	heated	2	2	0																									
7A	7	23.09.2025	17	heated	3	3	0																									
7A	7	23.09.2025	17	heated	4	2	0																									
7B	7	23.09.2025	17	control	1	50	0																									
7B	7	23.09.2025	17	control	2	8	0																									
7B	7	23.09.2025	17	control	3	10	0																									
7B	7	23.09.2025	17	control	4	50	0																									
7B	7	23.09.2025	17	control	5	24	0																									
7B	7	23.09.2025	17	control	6	4	0																									
8A	8	23.09.2025	17	heated	1	50	0																									
8A	8	23.09.2025	17	heated	2	50	0																									
8A	8	23.09.2025	17	heated	3	50	0																									
8A	8	23.09.2025	17	heated	4	50	0																									
8A	8	23.09.2025	17	heated	5	50	0																									
8A	8	23.09.2025	17	heated	6	50	1																									
8B	8	23.09.2025	17	control	1	50	71																									
8B	8	23.09.2025	17	control	2	50	42																									
8B	8	23.09.2025	17	control	3	50	41																									
8B	8	23.09.2025	17	control	4	50	42																									
8B	8	23.09.2025	17	control	5	50	21																									
8B	8	23.09.2025	17	control	6	50	52																									
9A	9	23.09.2025	17	control	1	1	0																									
9A	9	23.09.2025	17	control	2	1	0																									
9A	9	23.09.2025	17	control	3	1	0																									
9B	9	23.09.2025	17	heated	1	2	0																									
10A	10	23.09.2025	17	control	1	7	0																									
10A	10	23.09.2025	17	control	2	1	0																									
10A	10	23.09.2025	17	control	3	11	0																									
10A	10	23.09.2025	17	control	4	19	0																									
10A	10	23.09.2025	17	control	5	7	0																									
10A	10	23.09.2025	17	control	6	1	0																									
10B	10	23.09.2025	17	heated	1	50	1																									
10B	10	23.09.2025	17	heated	2	50	0																									
10B	10	23.09.2025	17	heated	3	50	0																									
10B	10	23.09.2025	17	heated	4	50	3																									
10B	10	23.09.2025	17	heated	5	50	0																									
10B	10	23.09.2025	17	heated	6	50	0																									
11A	11	23.09.2025	17	heated	1	50	0																									
11A	11	23.09.2025	17	heated	2	50	0																									
11A	11	23.09.2025	17	heated	3	50	0																									
11A	11	23.09.2025	17	heated	4	50	0																									
11A	11	23.09.2025	17	heated	5	50	0																									
11A	11	23.09.2025	17	heated	6	50	0																									
11B	11	23.09.2025	17	control	1	7	0																									
12A	12	23.09.2025	17	heated	1	50	1																									
12A	12	23.09.2025	17	heated	2	50	1																									
12A	12	23.09.2025	17	heated	3	50	4																									
12A	12	23.09.2025	17	heated	4	50	2																									
12A	12	23.09.2025	17	heated	5	50	0																									
12A	12	23.09.2025	17	heated	6	50	0																									
12B	12	23.09.2025	17	control	1	50	0																									
12B	12	23.09.2025	17	control	2	50	0																									
12B	12	23.09.2025	17	control	3	50	0																									
12B	12	23.09.2025	17	control	4	50	0																									
12B	12	23.09.2025	17	control	5	50	0																									
12B	12	23.09.2025	17	control	6	50	0																									
13A	13	23.09.2025	17	control	1	50	0																									
13A	13	23.09.2025	17	control	2	50	0																									
13A	13	23.09.2025	17	control	3	50	0																									
13A	13	23.09.2025	17	control	4	50	0																									
13A	13	23.09.2025	17	control	5	50	0																									
13A	13	23.09.2025	17	control	6	50	0																									
13B	13	23.09.2025	17	heated	1	50	0																									
13B	13	23.09.2025	17	heated	2	50	0																									
13B	13	23.09.2025	17	heated	3	50	0																									
13B	13	23.09.2025	17	heated	4	50	0																									
13B	13	23.09.2025	17	heated	5	50	0																									
13B	13	23.09.2025	17	heated	6	50	0																									
14A	14	23.09.2025	17	control	1	50	0																									
14A	14	23.09.2025	17	control	2	50	1																									
14A	14	23.09.2025	17	control	3	50	0																									
14A	14	23.09.2025	17	control	4	50	0																									
14A	14	23.09.2025	17	control	5	50	0																									
14A	14	23.09.2025	17	control	6	50	0																									
14B	14	23.09.2025	17	heated	1	50	0																									
14B	14	23.09.2025	17	heated	2	50	1																									
14B	14	23.09.2025	17	heated	3	50	0																									
14B	14	23.09.2025	17	heated	4	50	1																									
14B	14	23.09.2025	17	heated	5	50	0																									
14B	14	23.09.2025	17	heated	6	50	1																									
15A	15	23.09.2025	17	heated	1	50	0																									
15A	15	23.09.2025	17	heated	2	50	0																									
15A	15	23.09.2025	17	heated	3	50	0																									
15A	15	23.09.2025	17	heated	4	50	0																									
15A	15	23.09.2025	17	heated	5	50	0																									
15A	15	23.09.2025	17	heated	6	50	0																									
15B	15	23.09.2025	17	control	1	6	0																									
16A	16	23.09.2025	17	heated	1	50	1																									
16A	16	23.09.2025	17	heated	2	50	4																									
16A	16	23.09.2025	17	heated	3	50	1																									
16A	16	23.09.2025	17	heated	4	50	0																									
16A	16	23.09.2025	17	heated	5	50	0																									
16A	16	23.09.2025	17	heated	6	50	0																									
16B	16	23.09.2025	17	control	1	50	0																									
16B	16	23.09.2025	17	control	2	50	0																									
16B	16	23.09.2025	17	control	3	50	0																									
16B	16	23.09.2025	17	control	4	50	0																									
16B	16	23.09.2025	17	control	5	50	0																									
16B	16	23.09.2025	17	control	6	50	0																									
1A	1	21.10.2025	21	control	1	50	0																									
1A	1	21.10.2025	21	control	2	26	0																									
1A	1	21.10.2025	21	control	3	50	0																									
1A	1	21.10.2025	21	control	4	50	0																									
1A	1	21.10.2025	21	control	5	50	0																									
1A	1	21.10.2025	21	control	6	50	0																									
1B	1	21.10.2025	21	heated	1	0	0																									
2A	2	21.10.2025	21	control	1	5	0																									
2A	2	21.10.2025	21	control	2	1	0																									
2A	2	21.10.2025	21	control	3	3	0																									
2A	2	21.10.2025	21	control	4	1	0																									
2B	2	21.10.2025	21	heated	1	50	0																									
2B	2	21.10.2025	21	heated	2	50	3																									
2B	2	21.10.2025	21	heated	3	50	1																									
2B	2	21.10.2025	21	heated	4	50	2																									
2B	2	21.10.2025	21	heated	5	50	6																									
2B	2	21.10.2025	21	heated	6	50	3																									
3A	3	21.10.2025	21	heated	1	50	15																									
3A	3	21.10.2025	21	heated	2	50	19																									
3A	3	21.10.2025	21	heated	3	50	14																									
3A	3	21.10.2025	21	heated	4	50	14																									
3A	3	21.10.2025	21	heated	5	50	17																									
3A	3	21.10.2025	21	heated	6	50	17																									
3B	3	21.10.2025	21	control	1	0	0																									
4A	4	21.10.2025	21	heated	1	50	0																									
4A	4	21.10.2025	21	heated	2	50	0																									
4A	4	21.10.2025	21	heated	3	50	0																									
4A	4	21.10.2025	21	heated	4	50	0																									
4A	4	21.10.2025	21	heated	5	50	0																									
4A	4	21.10.2025	21	heated	6	50	0																									
4B	4	21.10.2025	21	control	1	50	0																									
4B	4	21.10.2025	21	control	2	50	0																									
4B	4	21.10.2025	21	control	3	50	0																									
4B	4	21.10.2025	21	control	4	50	0																									
4B	4	21.10.2025	21	control	5	50	0																									
4B	4	21.10.2025	21	control	6	50	0																									
5A	5	21.10.2025	21	control	1	0	0																									
5B	5	21.10.2025	21	heated	1	0	0																									
6A	6	21.10.2025	21	control	1	2	0																									
6A	6	21.10.2025	21	control	2	2	0																									
6B	6	21.10.2025	21	heated	1	50	0																									
6B	6	21.10.2025	21	heated	2	50	1																									
6B	6	21.10.2025	21	heated	3	50	1																									
6B	6	21.10.2025	21	heated	4	50	0																									
6B	6	21.10.2025	21	heated	5	50	0																									
6B	6	21.10.2025	21	heated	6	50	0																									
7A	7	21.10.2025	21	heated	1	0	0																									
7B	7	21.10.2025	21	control	1	0	0																									
8A	8	21.10.2025	21	heated	1	50	0																									
8A	8	21.10.2025	21	heated	2	50	0																									
8A	8	21.10.2025	21	heated	3	50	0																									
8A	8	21.10.2025	21	heated	4	50	0																									
8A	8	21.10.2025	21	heated	5	50	0																									
8A	8	21.10.2025	21	heated	6	50	0																									
8B	8	21.10.2025	21	control	1	50	0																									
8B	8	21.10.2025	21	control	2	50	0																									
8B	8	21.10.2025	21	control	3	50	0																									
8B	8	21.10.2025	21	control	4	50	0																									
8B	8	21.10.2025	21	control	5	50	0																									
8B	8	21.10.2025	21	control	6	50	0																									
9A	9	21.10.2025	21	control	1	7	0																									
9A	9	21.10.2025	21	control	2	2	0																									
9B	9	21.10.2025	21	heated	1	0	0																									
10A	10	21.10.2025	21	control	1	3	0																									
10A	10	21.10.2025	21	control	2	2	0																									
10A	10	21.10.2025	21	control	3	10	0																									
10A	10	21.10.2025	21	control	4	4	0																									
10A	10	21.10.2025	21	control	5	3	0																									
10A	10	21.10.2025	21	control	6	2	0																									
10B	10	21.10.2025	21	heated	1	50	0																									
10B	10	21.10.2025	21	heated	2	50	2																									
10B	10	21.10.2025	21	heated	3	50	0																									
10B	10	21.10.2025	21	heated	4	50	0																									
10B	10	21.10.2025	21	heated	5	50	0																									
10B	10	21.10.2025	21	heated	6	50	0																									
11A	11	21.10.2025	21	heated	1	50	0																									
11A	11	21.10.2025	21	heated	2	50	0																									
11A	11	21.10.2025	21	heated	3	50	0																									
11A	11	21.10.2025	21	heated	4	50	0																									
11A	11	21.10.2025	21	heated	5	50	0																									
11A	11	21.10.2025	21	heated	6	50	0																									
11B	11	21.10.2025	21	control	1	0	0																									
12A	12	21.10.2025	21	heated	1	50	2																									
12A	12	21.10.2025	21	heated	2	50	2																									
12A	12	21.10.2025	21	heated	3	50	1																									
12A	12	21.10.2025	21	heated	4	50	3																									
12A	12	21.10.2025	21	heated	5	50	6																									
