ID	pond	block	treatment	date	timepoint	number_daphnia			
13A	13A	13	control	28.07.2025	9	651			
13B	13B	13	heated	28.07.2025	9	182			
14A	14A	14	control	28.07.2025	9	221			
14B	14B	14	heated	28.07.2025	9	219			
15A	15A	15	heated	28.07.2025	9	339			
15B	15B	15	control	28.07.2025	9	487			
16A	16A	16	heated	28.07.2025	9	91			
16B	16B	16	control	28.07.2025	9	1184			
1A	1A	1	control	11.08.2025	11	791			
1B	1B	1	heated	11.08.2025	11	713			
2A	2A	2	control	11.08.2025	11	683			
2B	2B	2	heated	11.08.2025	11	226			
3A	3A	3	heated	11.08.2025	11	453			
3B	3B	3	control	11.08.2025	11	687			
4A	4A	4	heated	11.08.2025	11	170			
4B	4B	4	control	11.08.2025	11	84			
5A	5A	5	control	11.08.2025	11	568			
5B	5B	5	heated	11.08.2025	11	998			
6A	6A	6	control	11.08.2025	11	518			
6B	6B	6	heated	11.08.2025	11	971			
7A	7A	7	heated	11.08.2025	11	534			
7B	7B	7	control	11.08.2025	11	999			
8A	8A	8	heated	11.08.2025	11	145			
8B	8B	8	control	11.08.2025	11	308			
9A	9A	9	control	11.08.2025	11	528			
9B	9B	9	heated	11.08.2025	11	491			
10A	10A	10	control	11.08.2025	11	373			
10B	10B	10	heated	11.08.2025	11	286			
11A	11A	11	heated	11.08.2025	11	597			
11B	11B	11	control	11.08.2025	11	554			
12A	12A	12	heated	11.08.2025	11	63			
12B	12B	12	control	11.08.2025	11	704			
13A	13A	13	control	11.08.2025	11	661			
13B	13B	13	heated	11.08.2025	11	196			
14A	14A	14	control	11.08.2025	11	542			
14B	14B	14	heated	11.08.2025	11	157			
15A	15A	15	heated	11.08.2025	11	92			
15B	15B	15	control	11.08.2025	11	1030			
16A	16A	16	heated	11.08.2025	11	70			
16B	16B	16	control	11.08.2025	11	1110			
1A	1A	1	control	25.08.2025	13	471			
1B	1B	1	heated	25.08.2025	13	392			
2A	2A	2	control	25.08.2025	13	408			
2B	2B	2	heated	25.08.2025	13	191			
3A	3A	3	heated	25.08.2025	13	391			
3B	3B	3	control	25.08.2025	13	578			
4A	4A	4	heated	25.08.2025	13	186			
4B	4B	4	control	25.08.2025	13	14			
5A	5A	5	control	25.08.2025	13	576			
5B	5B	5	heated	25.08.2025	13	433			
6A	6A	6	control	25.08.2025	13	479			
6B	6B	6	heated	25.08.2025	13	156			
7A	7A	7	heated	25.08.2025	13	335			
7B	7B	7	control	25.08.2025	13	491			
8A	8A	8	heated	25.08.2025	13	57			
8B	8B	8	control	25.08.2025	13	123			
9A	9A	9	control	25.08.2025	13	460			
9B	9B	9	heated	25.08.2025	13	612			
10A	10A	10	control	25.08.2025	13	490			
10B	10B	10	heated	25.08.2025	13	124			
11A	11A	11	heated	25.08.2025	13	247			
11B	11B	11	control	25.08.2025	13	312			
12A	12A	12	heated	25.08.2025	13	18			
12B	12B	12	control	25.08.2025	13	603			
13A	13A	13	control	25.08.2025	13	217			
13B	13B	13	heated	25.08.2025	13	13			
14A	14A	14	control	25.08.2025	13	199			
14B	14B	14	heated	25.08.2025	13	24			
15A	15A	15	heated	25.08.2025	13	6			
